แนวเรื่อง (Genre) และ ช่องทางรับชมที่ถูกลิขสิทธิ์ (ในไทย) ของทั้ง 320 เรื่อง ดังนี้ครับ:

86 -Eighty Six- | แนว: ไซไฟ, สงคราม, ดราม่า, เมก้า | ช่องทาง: Bilibili, iQIYI, Netflix
Carole & Tuesday | แนว: ดนตรี, ไซไฟ, ดราม่า | ช่องทาง: Netflix

Chainsaw Man | แนว: แอ็กชัน, ดาร์กแฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili, Prime Video, Ani-One Asia

Charlotte | แนว: พลังพิเศษ, ดราม่า, โรงเรียน | ช่องทาง: Bilibili

Chihayafuru | แนว: กีฬา (คารุตะ), โรแมนติก, ดราม่า | ช่องทาง: Bilibili

Chivalry of a Failed Knight | แนว: แอ็กชัน, โรงเรียน, แฟนตาซี | ช่องทาง: Bilibili

City Hunter | แนว: แอ็กชัน, ตลก, สืบสวน | ช่องทาง: Netflix (ภาคหนัง), Bilibili

Clannad | แนว: ดราม่า, โรแมนติก, ชีวิตประจำวัน | ช่องทาง: Bilibili

Clannad: After Story | แนว: ดราม่า, โรแมนติก, ชีวิตครอบครัว | ช่องทาง: Bilibili

Claymore | แนว: ดาร์กแฟนตาซี, แอ็กชัน, ผจญภัย | ช่องทาง: Bilibili

Code Geass | แนว: แอ็กชัน, เมก้า, การเมือง, ไซไฟ | ช่องทาง: Netflix, Bilibili, Flixer

Code Geass R2 | แนว: แอ็กชัน, เมก้า, การเมือง, ไซไฟ | ช่องทาง: Netflix, Bilibili, Flixer

Coppelion | แนว: ไซไฟ, แอ็กชัน, เอาชีวิตรอด | ช่องทาง: Bilibili

Cowboy Bebop | แนว: แอ็กชัน, ไซไฟ, อวกาศ, อาชญากรรม | ช่องทาง: Netflix, Bilibili

Crayon Shin-chan | แนว: ตลก, ครอบครัว, ชีวิตประจำวัน | ช่องทาง: POPS, TrueID, Flixer

Crush Gear Turbo | แนว: กีฬา (รถแข่ง), แอ็กชัน | ช่องทาง: แผ่นลิขสิทธิ์

Cyberpunk: Edgerunners | แนว: ไซไฟ, แอ็กชัน, ไซเบอร์พังก์ | ช่องทาง: Netflix

Dandadan | แนว: แอ็กชัน, เหนือธรรมชาติ, ตลก, ไซไฟ | ช่องทาง: Netflix, Bilibili, Crunchyroll (เมื่อฉายจริง)

Danganronpa: The Animation | แนว: สืบสวน, จิตวิทยา, เอาชีวิตรอด | ช่องทาง: Bilibili, Muse Thailand

Darker than Black | แนว: แอ็กชัน, ไซไฟ, ลึกลับ | ช่องทาง: แผ่นลิขสิทธิ์

Darling in the Franxx | แนว: เมก้า, ไซไฟ, โรแมนติก, ดราม่า | ช่องทาง: Bilibili, iQIYI

Date A Live | แนว: ฮาเร็ม, ไซไฟ, โรแมนติก, ตลก | ช่องทาง: Bilibili, iQIYI, Muse Thailand

Date A Live II | แนว: ฮาเร็ม, ไซไฟ, โรแมนติก | ช่องทาง: Bilibili, iQIYI

Date A Live III | แนว: ฮาเร็ม, ไซไฟ, โรแมนติก | ช่องทาง: Bilibili, iQIYI

Date A Live IV | แนว: ฮาเร็ม, ไซไฟ, โรแมนติก | ช่องทาง: Bilibili, iQIYI, Muse Thailand

Deadman Wonderland | แนว: แอ็กชัน, ไซไฟ, สยองขวัญ | ช่องทาง: Bilibili

Death Note | แนว: จิตวิทยา, สืบสวน, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili

Death Parade | แนว: จิตวิทยา, ปรัชญา, เกม | ช่องทาง: Bilibili

Deca-Dence | แนว: ไซไฟ, แอ็กชัน, เอาชีวิตรอด | ช่องทาง: Bilibili, Ani-One Asia

Delicious in Dungeon | แนว: แฟนตาซี, ทำอาหาร, ผจญภัย | ช่องทาง: Netflix

Demon Slayer | แนว: แอ็กชัน, แฟนตาซี, อิงประวัติศาสตร์ | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID, Prime, Viu

Demon Slayer: Entertainment District Arc | แนว: แอ็กชัน, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Demon Slayer: Swordsmith Village Arc | แนว: แอ็กชัน, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Detective Conan | แนว: สืบสวน, ลึกลับ, แอ็กชัน | ช่องทาง: Bilibili, iQIYI, TrueID, Viu

Detective Conan: Black Iron Submarine | แนว: สืบสวน, แอ็กชัน | ช่องทาง: Bilibili, iQIYI, Prime Video

Devilman Crybaby | แนว: ดาร์กแฟนตาซี, สยองขวัญ, แอ็กชัน | ช่องทาง: Netflix

D.Gray-man | แนว: แอ็กชัน, แฟนตาซี, ปีศาจ | ช่องทาง: Bilibili

Digimon Adventure | แนว: ผจญภัย, แฟนตาซี, สัตว์ประหลาด | ช่องทาง: iQIYI, Bilibili

Digimon Adventure 02 | แนว: ผจญภัย, แฟนตาซี | ช่องทาง: Bilibili, iQIYI

Digimon Frontier | แนว: ผจญภัย, แฟนตาซี | ช่องทาง: Bilibili

Digimon Tamers | แนว: ผจญภัย, แฟนตาซี, ไซไฟ | ช่องทาง: Bilibili

Doraemon | แนว: ตลก, ไซไฟ, ครอบครัว | ช่องทาง: POPS, TrueID, YouTube ลิขสิทธิ์

Dorohedoro | แนว: แอ็กชัน, ดาร์กแฟนตาซี, ตลกตลกร้าย | ช่องทาง: Netflix

Dragon Ball GT | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: iQIYI, Bilibili

Dragon Ball Super | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: iQIYI, Bilibili

Dragon Ball Z | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, TrueID

Drifters | แนว: แอ็กชัน, แฟนตาซี, อิงประวัติศาสตร์ | ช่องทาง: Bilibili

Dr. Stone | แนว: ไซไฟ, เอาชีวิตรอด, ตลก | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Durarara!! | แนว: แอ็กชัน, ลึกลับ, ชีวิตในเมือง | ช่องทาง: Bilibili

Edens Zero | แนว: แอ็กชัน, ผจญภัย, ไซไฟ | ช่องทาง: Netflix, Bilibili

Elfen Lied | แนว: สยองขวัญ, จิตวิทยา, ดาร์กแฟนตาซี | ช่องทาง: แผ่นลิขสิทธิ์

Erased | แนว: ลึกลับ, จิตวิทยา, ไซไฟ (ย้อนเวลา) | ช่องทาง: Netflix, Bilibili

Evangelion: 3.0+1.0 Thrice Upon a Time | แนว: เมก้า, จิตวิทยา, ไซไฟ | ช่องทาง: Prime Video

Fairy Tail | แนว: แอ็กชัน, เวทมนตร์, ผจญภัย | ช่องทาง: Bilibili, iQIYI, TrueID, Muse Thailand

Fairy Tail (Series 2) | แนว: แอ็กชัน, เวทมนตร์, ผจญภัย | ช่องทาง: Bilibili, iQIYI, Muse Thailand

Fate/Apocrypha | แนว: แอ็กชัน, แฟนตาซี, เวทมนตร์ | ช่องทาง: Netflix, Bilibili

Fate/Grand Order - Babylonia | แนว: แอ็กชัน, แฟนตาซี, เวทมนตร์ | ช่องทาง: Bilibili

Fate/stay night (2006) | แนว: แอ็กชัน, แฟนตาซี, โรแมนติก | ช่องทาง: แผ่นลิขสิทธิ์

Fate/stay night: Heaven's Feel | แนว: แอ็กชัน, ดาร์กแฟนตาซี | ช่องทาง: Bilibili

Fate/stay night: Unlimited Blade Works | แนว: แอ็กชัน, แฟนตาซี, เวทมนตร์ | ช่องทาง: Bilibili, Netflix

Fate/Zero | แนว: แอ็กชัน, ดาร์กแฟนตาซี, เวทมนตร์ | ช่องทาง: Bilibili, Netflix

Fire Force | แนว: แอ็กชัน, เหนือธรรมชาติ, ไซไฟ | ช่องทาง: Bilibili, Muse Thailand

Fist of the North Star | แนว: แอ็กชัน, ศิลปะการต่อสู้, โพสต์อะพอคคาลิปส์ | ช่องทาง: Bilibili

Food Wars! | แนว: ทำอาหาร, ตลก, ฮาเร็มแฝง | ช่องทาง: Netflix, Bilibili, iQIYI

Free! | แนว: กีฬา (ว่ายน้ำ), ชีวิตประจำวัน, มิตรภาพ | ช่องทาง: Bilibili, Ani-One Asia

Frieren: Beyond Journey's End | แนว: ผจญภัย, แฟนตาซี, ดราม่า | ช่องทาง: Netflix, Bilibili, iQIYI, Prime, Muse Thailand

Fruit Basket | แนว: โรแมนติก, ดราม่า, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili, iQIYI

Fullmetal Alchemist: Brotherhood | แนว: แอ็กชัน, แฟนตาซี, ผจญภัย | ช่องทาง: Bilibili

Future Diary | แนว: จิตวิทยา, เอาชีวิตรอด, ระทึกขวัญ | ช่องทาง: Bilibili

Galaxy Express 999 | แนว: ไซไฟ, ผจญภัย, อวกาศ | ช่องทาง: แผ่นลิขสิทธิ์

Gantz | แนว: แอ็กชัน, ไซไฟ, สยองขวัญ | ช่องทาง: แผ่นลิขสิทธิ์

Ghost in the Shell | แนว: ไซไฟ, ไซเบอร์พังก์, ปรัชญา | ช่องทาง: เช่าผ่าน Apple TV / แผ่นลิขสิทธิ์

Ghost in the Shell: Stand Alone Complex | แนว: ไซไฟ, ไซเบอร์พังก์, สืบสวน | ช่องทาง: Netflix

Gintama | แนว: ตลก, แอ็กชัน, ซามูไร | ช่องทาง: Bilibili, iQIYI, TrueID

Gintama 2 | แนว: ตลก, แอ็กชัน, ซามูไร | ช่องทาง: Bilibili, iQIYI

Girls und Panzer | แนว: กีฬา (รถถัง), โรงเรียน, ตลก | ช่องทาง: Bilibili, Flixer

Girls und Panzer das Finale | แนว: กีฬา (รถถัง), ตลก | ช่องทาง: Flixer, Bilibili

Given | แนว: ดนตรี, ดราม่า, บอยเลิฟ (BL) | ช่องทาง: Bilibili, iQIYI

Goblin Slayer II | แนว: แอ็กชัน, ดาร์กแฟนตาซี, ผจญภัย | ช่องทาง: Bilibili, iQIYI, Muse Thailand

Golden Kamuy | แนว: แอ็กชัน, ผจญภัย, อิงประวัติศาสตร์ | ช่องทาง: Bilibili, Prime Video

Great Pretender | แนว: แอ็กชัน, อาชญากรรม (ต้มตุ๋น), ตลก | ช่องทาง: Netflix

Great Teacher Onizuka | แนว: ตลก, โรงเรียน, ดราม่า | ช่องทาง: Netflix, Bilibili, Muse Thailand

Guilty Crown | แนว: แอ็กชัน, ไซไฟ, โรแมนติก | ช่องทาง: Bilibili

Gundam Wing | แนว: เมก้า, แอ็กชัน, การเมือง | ช่องทาง: Flixer, GundamInfo

Gurren Lagann | แนว: แอ็กชัน, เมก้า, ผจญภัย | ช่องทาง: Bilibili, Ani-One Asia

Gyakkyou Burai Kaiji: Ultimate Survivor | แนว: จิตวิทยา, ระทึกขวัญ, เกมเดิมพัน | ช่องทาง: Bilibili

Haikyuu!! | แนว: กีฬา (วอลเลย์บอล), สร้างแรงบันดาลใจ | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID, Prime Video

Haikyuu!! Second Season | แนว: กีฬา (วอลเลย์บอล) | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Haruhi Suzumiya | แนว: ตลก, ไซไฟ, เหนือธรรมชาติ | ช่องทาง: Bilibili

Hellsing | แนว: แอ็กชัน, สยองขวัญ, แวมไพร์ | ช่องทาง: Bilibili

Hellsing Ultimate | แนว: แอ็กชัน, สยองขวัญ, แวมไพร์ | ช่องทาง: Bilibili

Hell's Paradise | แนว: แอ็กชัน, ดาร์กแฟนตาซี, อิงประวัติศาสตร์ | ช่องทาง: Netflix, Prime Video

High School DxD | แนว: แอ็กชัน, แฟนตาซี, ฮาเร็ม, เอคโค่ | ช่องทาง: Bilibili

High School Fleet | แนว: โรงเรียน, กองทัพเรือ, แอ็กชัน | ช่องทาง: Bilibili, Flixer

Highschool of the Dead | แนว: เอาชีวิตรอด, สยองขวัญ (ซอมบี้), เอคโค่ | ช่องทาง: Bilibili

High School Prodigies Have It Easy Even In Another World | แนว: ต่างโลก, แฟนตาซี, การเมือง | ช่องทาง: Bilibili

Himouto! Umaru-chan | แนว: ตลก, ชีวิตประจำวัน, โรงเรียน | ช่องทาง: Bilibili

Himouto! Umaru-chan R | แนว: ตลก, ชีวิตประจำวัน | ช่องทาง: Bilibili

Horimiya | แนว: โรแมนติก, ตลก, โรงเรียน | ช่องทาง: Bilibili, iQIYI, Netflix

How a Realist Hero Rebuilt the Kingdom | แนว: ต่างโลก, การบริหาร, แฟนตาซี | ช่องทาง: Bilibili, iQIYI

Hundred | แนว: แอ็กชัน, ไซไฟ, ฮาเร็ม | ช่องทาง: Crunchyroll

Hunter x Hunter | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI

Hyouka | แนว: สืบสวน, โรงเรียน, ชีวิตประจำวัน | ช่องทาง: Bilibili, Muse Thailand

I'm Quitting Heroing | แนว: แฟนตาซี, ตลก, ผจญภัย | ช่องทาง: Bilibili, Ani-One Asia

In Another World With My Smartphone Season 2 | แนว: ต่างโลก, ฮาเร็ม, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, Ani-One Asia

Inazuma Eleven | แนว: กีฬา (ฟุตบอล), พลังพิเศษ | ช่องทาง: TrueID

Inuyasha | แนว: แอ็กชัน, แฟนตาซี, ผจญภัย, โรแมนติก | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Inuyasha: The Final Act | แนว: แอ็กชัน, แฟนตาซี, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI

Is It Wrong to Try to Pick Up Girls in a Dungeon? II | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI

JoJo: Diamond is Unbreakable | แนว: แอ็กชัน, เหนือธรรมชาติ, สืบสวน | ช่องทาง: Netflix, Bilibili, Muse Thailand

JoJo: Golden Wind | แนว: แอ็กชัน, เหนือธรรมชาติ, มาเฟีย | ช่องทาง: Netflix, Bilibili, Muse Thailand

JoJo's Bizarre Adventure | แนว: แอ็กชัน, เหนือธรรมชาติ, ผจญภัย | ช่องทาง: Netflix, Bilibili, Muse Thailand

JoJo: Stardust Crusaders | แนว: แอ็กชัน, เหนือธรรมชาติ, ผจญภัย | ช่องทาง: Netflix, Bilibili, Muse Thailand

JoJo: Stone Ocean | แนว: แอ็กชัน, เหนือธรรมชาติ, เอาชีวิตรอด | ช่องทาง: Netflix

Jujutsu Kaisen | แนว: แอ็กชัน, ดาร์กแฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili, iQIYI, Prime, TrueID, Ani-One

Kabaneri of the Iron Fortress | แนว: แอ็กชัน, เอาชีวิตรอด (ซอมบี้), ไซไฟ | ช่องทาง: Prime Video, Bilibili

Kaguya-sama: Love is War | แนว: ตลก, โรแมนติก, จิตวิทยา | ช่องทาง: Netflix, Bilibili, iQIYI

Kaiju No. 8 | แนว: แอ็กชัน, ไซไฟ, สัตว์ประหลาด | ช่องทาง: Netflix, Bilibili, iQIYI, Crunchyroll

Kakegurui | แนว: เกมเดิมพัน, จิตวิทยา, โรงเรียน | ช่องทาง: Netflix

Kantai Collection: KanColle | แนว: แอ็กชัน, กองทัพเรือ, ไซไฟ | ช่องทาง: Bilibili

Katekyo Hitman Reborn! | แนว: แอ็กชัน, ตลก, มาเฟีย | ช่องทาง: Bilibili, iQIYI, TrueID

Kids on the Slope | แนว: ดนตรี (แจ๊ส), ดราม่า, โรแมนติก | ช่องทาง: Bilibili

Kill la Kill | แนว: แอ็กชัน, ตลก, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili

Kimi ni Todoke | แนว: โรแมนติก, ชีวิตประจำวัน, โรงเรียน | ช่องทาง: Netflix

Kinnikuman | แนว: แอ็กชัน, กีฬา (มวยปล้ำ), ตลก | ช่องทาง: Netflix (ซีซั่นใหม่)

Kiznaiver | แนว: ดราม่า, ไซไฟ, จิตวิทยา | ช่องทาง: Crunchyroll

K-On! | แนว: ดนตรี, ชีวิตประจำวัน, ตลก | ช่องทาง: Bilibili, Ani-One Asia

KonoSuba | แนว: ตลก, ต่างโลก, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Kuroko's Basketball | แนว: กีฬา (บาสเกตบอล), แอ็กชัน | ช่องทาง: Netflix, Bilibili, iQIYI

Log Horizon | แนว: ต่างโลก (เกม), ผจญภัย, การเมือง | ช่องทาง: Bilibili, Crunchyroll

Love Live! School Idol Project | แนว: ไอดอล, ดนตรี, โรงเรียน | ช่องทาง: Bilibili, Flixer

Lucky Star | แนว: ตลก, ชีวิตประจำวัน, ล้อเลียน | ช่องทาง: Bilibili

Lupin III | แนว: แอ็กชัน, ตลก, อาชญากรรม (จอมโจร) | ช่องทาง: Bilibili, Flixer

Lycoris Recoil | แนว: แอ็กชัน, ไซไฟ, ตลก | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Macross Delta | แนว: เมก้า, ไซไฟ, ดนตรี | ช่องทาง: Disney+ Hotstar

Macross Frontier | แนว: เมก้า, ไซไฟ, ดนตรี | ช่องทาง: Disney+ Hotstar

Madan no Ou to Vanadis | แนว: แฟนตาซี, แอ็กชัน, โรแมนติก | ช่องทาง: Bilibili

Made in Abyss | แนว: ผจญภัย, ดาร์กแฟนตาซี, ลึกลับ | ช่องทาง: Bilibili, Muse Thailand

Magic Knight Rayearth | แนว: แฟนตาซี, เมก้า, ผจญภัย | ช่องทาง: Flixer

Magi: The Labyrinth of Magic | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: Netflix, Bilibili

Maoyu: Archenemy & Hero | แนว: แฟนตาซี, เศรษฐศาสตร์, โรแมนติก | ช่องทาง: Bilibili

Maruko-chan | แนว: ตลก, ชีวิตประจำวัน, ครอบครัว | ช่องทาง: TrueID, YouTube ลิขสิทธิ์

Masamune-kun's Revenge | แนว: โรแมนติก, ตลก, ฮาเร็ม | ช่องทาง: Bilibili

Masamune-kun's Revenge R | แนว: โรแมนติก, ตลก | ช่องทาง: Bilibili, Crunchyroll

Mashle season 2 | แนว: แอ็กชัน, ตลก, เวทมนตร์ | ช่องทาง: Netflix, Bilibili, Prime Video

Mobile Suit Gundam 00 | แนว: เมก้า, ไซไฟ, การเมือง, สงคราม | ช่องทาง: Bilibili, Flixer, GundamInfo

Mobile Suit Gundam: Iron-Blooded Orphans | แนว: เมก้า, ไซไฟ, ดราม่า, สงคราม | ช่องทาง: Bilibili, Flixer, GundamInfo

Mobile Suit Gundam SEED | แนว: เมก้า, ไซไฟ, โรแมนติก, สงคราม | ช่องทาง: Bilibili, Flixer, GundamInfo

Mobile Suit Gundam: The Witch from Mercury | แนว: เมก้า, ไซไฟ, โรงเรียน | ช่องทาง: Netflix, Bilibili, Flixer, GundamInfo

Mob Psycho 100 | แนว: แอ็กชัน, พลังจิต, ตลก, ชีวิตประจำวัน | ช่องทาง: Netflix, Bilibili, Ani-One Asia

Mob Psycho 100 II | แนว: แอ็กชัน, พลังจิต, ดราม่า | ช่องทาง: Netflix, Bilibili, Ani-One Asia

Monster | แนว: จิตวิทยา, สืบสวน, ระทึกขวัญ | ช่องทาง: Netflix

Motto To LOVE-Ru | แนว: ตลก, ฮาเร็ม, ไซไฟ, เอคโค่ | ช่องทาง: Bilibili

Mushoku Tensei: Jobless Reincarnation | แนว: ต่างโลก, ผจญภัย, ดราม่า, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand

Mushoku Tensei Season 2 | แนว: ต่างโลก, แฟนตาซี, ชีวิตประจำวัน | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand

My Hero Academia | แนว: แอ็กชัน, ซูเปอร์ฮีโร่, โรงเรียน | ช่องทาง: Netflix, Bilibili, iQIYI, Prime, TrueID

My Teen Romantic Comedy SNAFU | แนว: โรแมนติก, ตลก, ดราม่า | ช่องทาง: Bilibili

NANA | แนว: ดนตรี, โรแมนติก, ดราม่าชีวิต | ช่องทาง: Netflix, Bilibili

Naruto | แนว: แอ็กชัน, นินจา, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Naruto: Shippuden | แนว: แอ็กชัน, นินจา, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI

Neon Genesis Evangelion | แนว: เมก้า, จิตวิทยา, ไซไฟ, ดราม่า | ช่องทาง: Netflix

Nichijou | แนว: ตลกขบขัน, ชีวิตประจำวัน | ช่องทาง: Bilibili

Nisekoi | แนว: ฮาเร็ม, โรแมนติก, ตลก | ช่องทาง: Bilibili

Nodame Cantabile | แนว: ดนตรี (คลาสสิก), โรแมนติก, ตลก | ช่องทาง: Bilibili

No Game No Life | แนว: ต่างโลก, เกม, แฟนตาซี, ตลก | ช่องทาง: Netflix, Bilibili

No Game No Life: Zero | แนว: ดราม่า, แฟนตาซี, สงคราม | ช่องทาง: Bilibili

Noragami | แนว: แอ็กชัน, แฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Bilibili

Noragami Aragoto | แนว: แอ็กชัน, แฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Bilibili

